GPT-1,Human-1,GPT-2,Human-2,GPT-3,Human-3,GPT-4,Human-4,GPT-5,Human-5,GPT-6,Human-6,GPT-7,Human-7,GPT-8,Human-8,GPT-9,Human-9,GPT-10,Human-10
,,,,5.0,,,,,,,,,,,,,,,
,,,,5.0,,,,,,,,,,,,,,,
,,,,5.0,116.0,,,,,,88.0,,,,197.0,,,,
,,,,4.0,438.0,,,,,,,,,,,,,,
,,,,4.0,127.0,,,,,,,,,,,,,,
,,,,4.0,,,,,,,,,,,,,,,
,,,,3.0,156.0,,,,,,,,,,,,,,
,,,,3.0,183.0,,,,,,,,,,,,,,
,,,,3.0,,,,,,,,,,,,,,,
,,,,3.0,113.0,,,,,,,,,,,,,,
,,,,3.0,,,,,,,,,,,,,,,
,,,,3.0,,,,,,,,,,,,,,,
,,,,3.0,,3.0,,,,,,,,,,,,,
,,,,2.0,,,,,,,,,,,,,,,
,,,,2.0,,,,,,,,,,,,,,,
,,,,,237.0,,,,,,,,,,,,,,
,,,,,186.0,,,,,,,,,,,,,,
,,,,,179.0,,,,,,,,,,,,,,
,,,,,174.0,4.0,,,,,82.0,,,,,,,4.0,
,,,,,149.0,,,,,,,,,,,,,,
,,,,,149.0,,,,,8.0,189.0,,,,,,,,
,,,,,138.0,,,,,,,,,,,,,,
,,,,,130.0,,,,,,,,105.0,,,,,,
,,,,,125.0,,,,,,,,,,,,,,
,,,,,118.0,,,,,,,,,,,3.0,,,
,,,,,114.0,,,,,,,,,,,,,,
,,,,,,9.0,119.0,,,,,,,,,,,,
,,,,,,7.0,98.0,,,,,,,,,,,,
,,,,,,4.0,,,,,,,,,,,,,
,,,,,,4.0,,,,,,,,,,,,,
,,,,,,4.0,,,,,,,,,,,,,
,,,,,,3.0,,,,,,,,,,,,,
,,,,,,3.0,,,,,,,,,,,,,
,,,,,,3.0,94.0,,,,,,,,,,,,
,,,,,,3.0,,,,,,,,,,,,,
,,,,,,3.0,,,,,,,,,,,,,
,,,,,,3.0,,,,,,,,,,,,,
,,,,,,3.0,,,,,,,,,,,,,
,,,,,,3.0,,,,,,,,,,,,,
,,,,,,2.0,,,,,,,,,,,,,
,,,,,,2.0,,,,,,,,,,,,,
,,,,,,2.0,,,,,,,,,,,,,
,,,,,,2.0,,,,,,,,,,,,,
,,,,,,2.0,,,,,,,,,,,,,
,,,,,,,378.0,,,,,,,,,,,,
,,,,,,,198.0,,,,,,,,,4.0,,,
,,,,,,,152.0,,,,,,,,,,,,147.0
,,,,,,,126.0,,,,,,,,,,,,
,,,,,,,104.0,,,,,,,,,,,,
,,,,,,,100.0,,,,,,93.0,,,,,,
,,,,,,,97.0,,,,,,,,,,,,
,,,,,,,87.0,,,,,,,,,,,,
,,,,,,,82.0,,,,,,,,,,,,
,,,,,,,81.0,,,,,,,,,,,,
,,,,,,,81.0,,,,,,,,,,,,
,,,,,,,80.0,,,,75.0,,,,,,,,
,,,,,,,77.0,,,,,,,,,,,,
,,,,,,,,19.0,86.0,,,,,,,,,,
,,,,,,,,19.0,178.0,,,,,,,,,,
,,,,,,,,15.0,121.0,,,,,,,,,,
,,,,,,,,13.0,159.0,,,,,,,,,,
,,,,,,,,7.0,,,,,,,,,,,
,,,,,,,,6.0,,,,,,,,,,,
,,,,,,,,6.0,,,,,,,,,,,
,,,,,,,,6.0,,,,,,,,,,,
,,,,,,,,6.0,,,,,,,,,,,
,,,,,,,,5.0,,,,,,,,,,,
,,,,,,,,5.0,,,,,,,,,,,
,,,,,,,,5.0,,,,,,,,,,,
,,,,,,,,5.0,,,,,,,,,,,
,,,,,,,,5.0,,,,,,,,,,,
,,,,,,,,5.0,,,,,,,,,,,
,,,,,,,,4.0,,,,,,,,,,,
,,,,,,,,4.0,,,,,,,,,,,
,,,,,,,,4.0,,,,,,,,,,,
,,,,,,,,4.0,,,,,,,,,,,
,,,,,,,,4.0,,,,,,,,4.0,,,
,,,,,,,,,193.0,,,,,,,,85.0,,
,,,,,,,,,167.0,,,,,,,,,,
,,,,,,,,,160.0,,,,,,,,,,
,,,,,,,,,132.0,,,,,,,,78.0,,
,,,,,,,,,131.0,,,,,,,,,,
,,,,,,,,,109.0,,,,,,,,,,
,,,,,,,,,106.0,,,,,,,,,,
,,,,,,,,,104.0,,,,,,,,,,
,,,,,,,,,103.0,,,,,,,,,,
,,,,,,,,,100.0,,,,,,,,,,
,,,,,,,,,99.0,,,,,,,,,,
,,,,,,,,,95.0,,,,,,,,,,
,,,,,,,,,88.0,,,,,,,,97.0,,
,,,,,,,,,87.0,,,,,,,,,,
,,,,,,,,,84.0,,,,,,,,,,
,,,,,,,,,,17.0,767.0,,,,,,,,
,,,,,,,,,,10.0,169.0,,,,,,,,
,,,,,,,,,,7.0,,,,,,,,,
,,,,,,,,,,6.0,92.0,,,,,,,3.0,
,,,,,,,,,,5.0,,,,,,,,,
,,,,,,,,,,4.0,,,,,,,,,
,,,,,,,,,,4.0,,,,,,,,,
,,,,,,,,,,4.0,,,,,,,,,
,,,,,,,,,,3.0,,,,,,,,,
,,,,,,,,,,3.0,,,,,,,,,
,,,,,,,,,,3.0,,,,,,,,,
,,,,,,,,,,3.0,,,,,,,,,
,,,,,,,,,,3.0,,,,,,,,,
,,,,,,,,,,3.0,,,,,,,,,
,,,,,,,,,,3.0,,,,,,,,,
,,,,,,,,,,3.0,,,,3.0,,,,,
,,,,,,,,,,3.0,,,,,,,,,
,,,,,,,,,,3.0,219.0,,,,,,,,
,,,,,,,,,,3.0,,,,,,,,,
,,,,,,,,,,,272.0,,,,,,,,
,,,,,,,,,,,155.0,,,,,,,,
,,,,,,,,,,,155.0,,,,,,,,
,,,,,,,,,,,96.0,,,,,,,,
,,,,,,,,,,,85.0,,,,,,,,
,,,,,,,,,,,76.0,,,,,,,,
,,,,,,,,,,,75.0,,,,,,,,
,,,,,,,,,,,74.0,,,,,,,,
,,,,,,,,,,,73.0,,,,,,,,
,,,,,,,,,,,73.0,,,,,,,,
,,,,,,,,,,,,9.0,127.0,,,,,,
,,,,,,,,,,,,9.0,624.0,,,,,,
,,,,,,,,,,,,9.0,,,,,,,
,,,,,,,,,,,,5.0,,,,,,,
,,,,,,,,,,,,4.0,83.0,,,,,,
,,,,,,,,,,,,4.0,,,,,,,
,,,,,,,,,,,,4.0,,,,,,,
,,,,,,,,,,,,4.0,,,,,,,
,,,,,,,,,,,,3.0,407.0,,,,,,
,,,,,,,,,,,,3.0,,,,,,,
,,,,,,,,,,,,3.0,,,,,,,
,,,,,,,,,,,,2.0,,,,,,,
,,,,,,,,,,,,2.0,137.0,,,,,,
,,,,,,,,,,,,2.0,,,,,,,
,,,,,,,,,,,,2.0,,,,,,3.0,
,,,,,,,,,,,,2.0,,,,,,,
,,,,,,,,,,,,2.0,,,,,,,
,,,,,,,,,,,,,549.0,,,,,,
,,,,,,,,,,,,,265.0,,,,,,
,,,,,,,,,,,,,199.0,,,,,,
,,,,,,,,,,,,,124.0,,,,,,
,,,,,,,,,,,,,124.0,,,,,,
,,,,,,,,,,,,,107.0,,,,,,
,,,,,,,,,,,,,94.0,,,,,,
,,,,,,,,,,,,,90.0,,,,,,
,,,,,,,,,,,,,88.0,,,,,,
,,,,,,,,,,,,,85.0,,,,,,
,,,,,,,,,,,,,83.0,,,,,,
,,,,,,,,,,,,,80.0,,,,,,
,,,,,,,,,,,,,,15.0,387.0,,,,
,,,,,,,,,,,,,,11.0,287.0,,,,
,,,,,,,,,,,,,,11.0,,,,11.0,125.0
,,,,,,,,,,,,,,6.0,,,,,
,,,,,,,,,,,,,,6.0,146.0,,,,
,,,,,,,,,,,,,,6.0,,,,,
,,,,,,,,,,,,,,5.0,,,,,
,,,,,,,,,,,,,,4.0,,,,,
,,,,,,,,,,,,,,4.0,,,,,
,,,,,,,,,,,,,,4.0,,,,,
,,,,,,,,,,,,,,4.0,,,,,
,,,,,,,,,,,,,,4.0,,,,,127.0
,,,,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,,,,,,324.0,,,,
,,,,,,,,,,,,,,,320.0,,,,
,,,,,,,,,,,,,,,311.0,,,,
,,,,,,,,,,,,,,,292.0,,,,
,,,,,,,,,,,,,,,288.0,,,,
,,,,,,,,,,,,,,,275.0,,,,
,,,,,,,,,,,,,,,246.0,,,,
,,,,,,,,,,,,,,,236.0,,,,
,,,,,,,,,,,,,,,202.0,,,,
,,,,,,,,,,,,,,,195.0,,,,
,,,,,,,,,,,,,,,190.0,,,,
,,,,,,,,,,,,,,,182.0,,,,
,,,,,,,,,,,,,,,177.0,,,,
,,,,,,,,,,,,,,,171.0,,,,
,,,,,,,,,,,,,,,171.0,,,,
,,,,,,,,,,,,,,,156.0,,,,
,,,,,,,,,,,,,,,,12.0,227.0,,
,,,,,,,,,,,,,,,,12.0,,,
,,,,,,,,,,,,,,,,10.0,,,
,,,,,,,,,,,,,,,,8.0,,,
,,,,,,,,,,,,,,,,8.0,,,
,,,,,,,,,,,,,,,,6.0,143.0,,
,,,,,,,,,,,,,,,,6.0,,,
,,,,,,,,,,,,,,,,4.0,,,
,,,,,,,,,,,,,,,,4.0,,,
,,,,,,,,,,,,,,,,4.0,,,
,,,,,,,,,,,,,,,,4.0,,,
,,,,,,,,,,,,,,,,3.0,,,
,,,,,,,,,,,,,,,,3.0,,,
,,,,,,,,,,,,,,,,3.0,,,
,,,,,,,,,,,,,,,,3.0,,,
,,,,,,,,,,,,,,,,3.0,,,
,,,,,,,,,,,,,,,,3.0,,,
,,,,,,,,,,,,,,,,,146.0,,
,,,,,,,,,,,,,,,,,138.0,,
,,,,,,,,,,,,,,,,,123.0,,
,,,,,,,,,,,,,,,,,93.0,,
,,,,,,,,,,,,,,,,,91.0,,
,,,,,,,,,,,,,,,,,88.0,,
,,,,,,,,,,,,,,,,,88.0,,
,,,,,,,,,,,,,,,,,86.0,,
,,,,,,,,,,,,,,,,,82.0,,
,,,,,,,,,,,,,,,,,79.0,,
,,,,,,,,,,,,,,,,,77.0,,
,,,,,,,,,,,,,,,,,74.0,,
,,,,,,,,,,,,,,,,,68.0,,
,,,,,,,,,,,,,,,,,,9.0,111.0
,,,,,,,,,,,,,,,,,,9.0,
,,,,,,,,,,,,,,,,,,8.0,
,,,,,,,,,,,,,,,,,,8.0,
,,,,,,,,,,,,,,,,,,7.0,
,,,,,,,,,,,,,,,,,,5.0,296.0
,,,,,,,,,,,,,,,,,,5.0,
,,,,,,,,,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,3.0,146.0
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,,197.0
,,,,,,,,,,,,,,,,,,,155.0
,,,,,,,,,,,,,,,,,,,143.0
,,,,,,,,,,,,,,,,,,,141.0
,,,,,,,,,,,,,,,,,,,132.0
,,,,,,,,,,,,,,,,,,,124.0
,,,,,,,,,,,,,,,,,,,122.0
,,,,,,,,,,,,,,,,,,,111.0
,,,,,,,,,,,,,,,,,,,110.0
,,,,,,,,,,,,,,,,,,,107.0
,,,,,,,,,,,,,,,,,,,106.0
,,,,,,,,,,,,,,,,,,,102.0
,,,,,,,,,,,,,,,,,,,100.0
